,step,year,mse,recall_normal_f,recall_critical_f,precision_normal_f,precision_critical_f,recall_normal_nf,recall_critical_nf,precision_normal_nf,precision_critical_nf
0,3,2004,0.004714982345597491,0.5368480725623582,0.9576271186440678,0.9539198084979055,0.48328267477203646,0.9036281179138322,0.673728813559322,0.9539198084979055,0.48328267477203646
1,3,2005,0.0018233167875187065,0.7472434266327396,0.630937880633374,0.7368421052631579,0.832046332046332,0.926208651399491,0.5249695493300852,0.7368421052631579,0.832046332046332
2,3,2006,0.0017391030154685723,0.7994907702100573,0.8484848484848485,0.9264214046822743,0.6316831683168317,0.8816040738383195,0.7435897435897436,0.9264214046822743,0.6316831683168317
3,3,2007,0.003843615372688873,0.5590214067278287,0.6410958904109589,0.9427609427609428,0.28313796212804326,0.5137614678899083,0.8602739726027397,0.9427609427609428,0.28313796212804326
4,3,2008,0.002611829267849316,0.9686609686609686,0.12080536912751678,0.7458175930922828,0.8503401360544217,0.9843304843304843,0.20973154362416108,0.7458175930922828,0.8503401360544217
5,3,2009,0.005720829066412989,0.9203045685279188,0.5333333333333333,0.9952431289640592,0.19444444444444445,0.9558375634517766,0.7,0.9952431289640592,0.19444444444444445
6,3,2010,0.002199208775884472,0.9345268542199489,0.2,0.9895833333333334,0.14772727272727273,0.9232736572890026,0.5777777777777777,0.9895833333333334,0.14772727272727273
7,3,2011,0.0026217282686538967,0.977607864554888,0.029585798816568046,0.9294736842105263,0.35,0.9645002730748226,0.20710059171597633,0.9294736842105263,0.35
8,3,2012,0.002229005004773171,0.9585230146686899,0.6521739130434783,0.9923508414074452,0.20512820512820512,0.9843196762771876,0.34782608695652173,0.9923508414074452,0.20512820512820512
9,3,2013,0.0026148707430347713,0.9857377948436643,0.062146892655367235,0.948093220338983,0.7053571428571429,0.981897970378497,0.4463276836158192,0.948093220338983,0.7053571428571429
10,3,2014,0.002256271627845308,0.9551849921834289,0.43209876543209874,0.9844444444444445,0.265,0.9233976029181865,0.654320987654321,0.9844444444444445,0.265
11,3,2015,0.0023090282659886724,0.9752628324056896,0.27154046997389036,0.9330328396651641,0.6241610738255033,0.8961038961038961,0.7284595300261096,0.9330328396651641,0.6241610738255033
12,3,2016,0.0036755735896185798,0.9918444165621079,0.017241379310344827,0.8830442081701175,0.9248826291079812,0.9899623588456713,0.4852216748768473,0.8830442081701175,0.9248826291079812
13,6,2004,0.004121120888162068,0.6899092970521542,0.9364406779661016,0.9578454332552693,0.5616438356164384,0.927437641723356,0.6949152542372882,0.9578454332552693,0.5616438356164384
14,6,2005,0.0019343064514905563,0.9168787107718406,0.4628501827040195,0.7769230769230769,0.8807017543859649,0.9423240033927057,0.6114494518879415,0.7769230769230769,0.8807017543859649
15,6,2006,0.0016873166281666271,0.8472310630171865,0.7389277389277389,0.9482178883658372,0.6861598440545809,0.8975175047740293,0.8205128205128205,0.9482178883658372,0.6861598440545809
16,6,2007,0.004385683946376957,0.45871559633027525,0.8410958904109589,0.968677494199536,0.29701230228471004,0.5107033639143731,0.9260273972602739,0.968677494199536,0.29701230228471004
17,6,2008,0.0024815229186297074,0.9836182336182336,0.1476510067114094,0.7596941561987984,0.9230769230769231,0.9907407407407407,0.26174496644295303,0.7596941561987984,0.9230769230769231
18,6,2009,0.004583328966127738,0.9583756345177665,0.4,0.9958093242535359,0.24175824175824176,0.9649746192893401,0.7333333333333333,0.9958093242535359,0.24175824175824176
19,6,2010,0.001976700368210004,0.8910485933503837,0.5111111111111111,0.9929039301310044,0.19047619047619047,0.9304347826086956,0.7111111111111111,0.9929039301310044,0.19047619047619047
20,6,2011,0.0023844243575140353,0.9787001638448936,0.08875739644970414,0.9377637130801688,0.49038461538461536,0.9710540688148552,0.30177514792899407,0.9377637130801688,0.49038461538461536
21,6,2012,0.0017368254090288247,0.9939301972685888,0.13043478260869565,0.9934310257705912,0.47619047619047616,0.9944360141628731,0.43478260869565216,0.9934310257705912,0.47619047619047616
22,6,2013,0.0024951549075449293,0.9720241360394953,0.11299435028248588,0.958444326052211,0.8048780487804879,0.9868348875479978,0.559322033898305,0.958444326052211,0.8048780487804879
23,6,2014,0.002470581185402807,0.9645648775403857,0.5432098765432098,0.988499452354874,0.3448275862068966,0.9405940594059405,0.7407407407407407,0.988499452354874,0.3448275862068966
24,6,2015,0.0020569086851537576,0.9647495361781077,0.4725848563968668,0.9480436177036562,0.6848072562358276,0.9140383426097711,0.7885117493472585,0.9480436177036562,0.6848072562358276
25,6,2016,0.002672516564532998,0.9761606022584692,0.14039408866995073,0.9181286549707602,0.9172413793103448,0.9849435382685069,0.6551724137931034,0.9181286549707602,0.9172413793103448
26,9,2004,0.004228168354555237,0.7392290249433107,0.9067796610169492,0.9585492227979274,0.623574144486692,0.9438775510204082,0.6949152542372882,0.9585492227979274,0.623574144486692
27,9,2005,0.001390606412215675,0.8702290076335878,0.7040194884287454,0.8430930930930931,0.9161676646706587,0.9525021204410518,0.7454323995127893,0.8430930930930931,0.9161676646706587
28,9,2006,0.0014504302071927668,0.8504137492043284,0.8484848484848485,0.959414504324684,0.7404426559356136,0.9178866963717377,0.8578088578088578,0.959414504324684,0.7404426559356136
29,9,2007,0.004952001833511986,0.40061162079510704,0.9643835616438357,0.9766666666666667,0.31272727272727274,0.5376146788990825,0.9424657534246575,0.9766666666666667,0.31272727272727274
30,9,2008,0.0020427469834476144,0.9821937321937322,0.313758389261745,0.7803242034656233,0.9620853080568721,0.9943019943019943,0.34060402684563756,0.7803242034656233,0.9620853080568721
