sos,eos,tos,anomaly_true,anomaly_pred,mse
76,97,75,0,0,0.0005667701479978859
71,96,75,0,0,0.005285903811454773
71,98,75,1,1,0.012288032099604607
75,99,75,0,1,0.005400179885327816
77,96,75,0,1,0.002333934186026454
76,96,75,0,1,0.0017227503703907132
72,98,75,0,0,0.003460037987679243
72,98,75,0,0,0.015140032395720482
76,98,75,0,0,0.0027912426739931107
74,94,75,0,0,0.0011057922383770347
85,95,75,1,0,0.0022111479192972183
76,96,75,0,0,0.00019467998936306685
78,97,75,0,1,0.0135293984785676
76,94,75,0,0,0.0011221973691135645
79,94,75,0,1,0.005152693018317223
71,98,75,0,0,0.0028593377210199833
72,98,75,0,0,0.005891697946935892
74,97,75,0,0,0.0005775589379481971
71,92,75,0,0,0.0012464370811358094
77,97,75,0,1,0.007246149238198996
76,96,75,0,0,0.004928728099912405
76,96,75,0,0,0.0024863716680556536
78,96,75,0,0,0.0036235179286450148
83,98,75,0,1,0.011846563778817654
74,98,75,0,0,0.004472967702895403
77,97,75,0,0,0.0011655662674456835
76,95,75,0,0,0.007273973897099495
74,95,75,0,0,0.0038792025297880173
79,97,75,0,1,0.010409432463347912
72,96,75,0,1,0.0008761779172345996
76,96,75,0,0,0.004135121125727892
78,96,75,0,0,0.0004686318279709667
71,97,75,0,0,0.005943565629422665
77,95,75,0,0,0.004479288123548031
71,88,75,0,0,0.0005186666385270655
70,98,75,0,0,0.002261049346998334
88,96,75,0,0,0.0007414818392135203
75,95,75,1,1,0.0017062220722436905
75,97,75,0,1,0.009183090180158615
77,97,75,0,0,0.018670350313186646
76,95,75,0,0,0.0016850518295541406
74,97,75,0,0,0.004593812394887209
75,95,75,0,1,0.0019314921228215098
76,96,75,0,0,0.0007593922200612724
74,97,75,0,0,0.0021218748297542334
78,97,75,0,1,0.004066138062626123
74,95,75,0,0,0.0005209978553466499
71,95,75,0,0,0.0020293393172323704
75,92,75,1,0,0.0004883322399109602
74,96,75,0,1,0.0023068799637258053
75,96,75,0,0,0.002359285717830062
72,98,75,0,0,0.003555082017555833
75,96,75,0,0,0.0002482437703292817
76,97,75,0,1,0.007713330443948507
70,96,75,0,0,0.0018295318586751819
78,95,75,0,1,0.001228549052029848
74,96,75,1,1,0.0003161660861223936
76,93,75,0,0,0.0005871022003702819
71,97,75,0,0,0.005996219348162413
73,94,75,0,0,0.0003170260170008987
75,97,75,0,0,0.0019120977958664298
76,96,75,0,0,0.004048347473144531
74,97,75,0,0,0.0021774061024188995
74,98,75,0,0,0.008231498301029205
74,98,75,0,0,0.0013304570456966758
86,95,75,0,0,0.0005132698570378125
82,94,75,0,0,0.00036557676503434777
73,98,75,0,1,0.0006923704640939832
76,97,75,0,0,0.001264353166334331
75,95,75,0,0,0.0009749470627866685
79,96,75,0,0,0.001639983500353992
87,99,75,0,1,0.008195394650101662
74,96,75,0,0,0.006591622717678547
74,97,75,0,0,0.0005837796488776803
71,98,75,0,0,0.0021236916072666645
75,96,75,1,1,0.00015290906594600528
75,95,75,0,0,0.0006141237099654973
70,97,75,0,0,0.0035831076093018055
72,96,75,0,1,0.00926168542355299
73,94,75,0,0,0.0010176753858104348
80,97,75,0,0,0.007924377918243408
72,98,75,0,1,0.008574968203902245
71,97,75,0,1,0.005077473819255829
76,97,75,0,0,0.0029619892593473196
75,97,75,0,1,0.0065402016043663025
76,96,75,1,1,0.0008440447272732854
71,98,75,0,0,0.008213711902499199
77,97,75,0,0,0.0015017566038295627
73,95,75,1,0,0.0003981815534643829
74,97,75,1,1,0.0005458529340103269
76,96,75,0,0,0.0024368518497794867
80,97,75,0,1,0.01029490027576685
76,96,75,0,0,0.0008104669395834208
71,97,75,0,0,0.0038297430146485567
78,96,75,0,1,0.0014453846961259842
75,95,75,1,1,0.0002585130569059402
76,96,75,0,0,0.0022302272263914347
72,96,75,0,1,0.0014005351113155484
83,97,75,0,1,0.007631055545061827
75,96,75,0,1,0.0003712563484441489
79,95,75,1,1,0.00011594540410442278
88,97,75,0,0,0.0015706602716818452
76,96,75,1,1,0.001383310998789966
88,98,75,1,0,0.0010880343616008759
76,95,75,1,1,0.0004848712414968759
71,94,75,0,0,0.004529164172708988
72,97,75,0,0,0.003252169815823436
78,96,75,0,1,0.0018899908754974604
73,97,75,0,0,0.0016454572323709726
74,98,75,0,0,0.006722490303218365
74,96,75,0,0,0.007579706609249115
88,98,75,0,0,0.0012157699093222618
76,96,75,0,0,0.0024925970938056707
77,97,75,0,0,0.021891675889492035
78,98,75,0,1,0.006320944521576166
77,95,75,0,0,0.0010229010367766023
74,95,75,0,0,0.0026053523179143667
88,98,75,0,1,0.01529048103839159
89,98,75,0,1,0.010421784594655037
75,96,75,0,0,0.001039622351527214
70,94,75,1,0,0.0012660836800932884
75,98,75,0,0,0.012949696741998196
75,95,75,0,0,0.004345596302300692
72,96,75,0,1,0.0016283043660223484
74,97,75,0,1,0.03435847908258438
71,97,75,0,0,0.004400873556733131
70,99,75,0,0,0.002456914633512497
73,99,75,0,1,0.013427200727164745
78,96,75,1,1,0.0008397520869038999
72,96,75,0,0,0.0011929664760828018
73,96,75,0,0,0.0006007923511788249
74,95,75,0,0,0.0005185296176932752
74,97,75,0,0,0.007516303565353155
73,97,75,1,1,0.0019742620643228292
77,96,75,0,0,0.0024311337620019913
76,96,75,0,1,0.0007908777333796024
79,97,75,0,0,0.014574270695447922
74,97,75,0,1,0.0012310091406106949
74,98,75,0,0,0.0019220079993829131
74,96,75,1,1,0.0005764481029473245
77,96,75,0,1,0.006046718452125788
74,97,75,0,0,0.004599928390234709
73,98,75,0,0,0.023581918329000473
78,97,75,0,0,0.00750320078805089
73,96,75,0,0,0.002830668119713664
74,95,75,0,0,0.0017263381741940975
71,97,75,0,0,0.0006094967247918248
79,96,75,0,1,0.0019115789327770472
79,96,75,0,1,0.0027550358790904284
76,96,75,0,1,0.0028029822278767824
86,96,75,0,0,0.00027113023679703474
75,97,75,0,1,0.0011690310202538967
74,98,75,0,0,0.011028620414435863
76,96,75,0,0,0.0031902508344501257
74,98,75,0,1,0.0019451802363619208
75,97,75,0,0,0.0023536141961812973
74,96,75,0,0,0.0019816216081380844
76,96,75,0,0,0.002117778640240431
73,96,75,1,1,0.00010895456944126636
72,97,75,0,0,0.005107243545353413
73,96,75,0,0,0.0009569349349476397
77,97,75,0,0,0.0009551019174978137
77,98,75,0,1,0.006867232266813517
74,96,75,0,0,0.0017475918866693974
76,98,75,0,0,0.005590905901044607
71,98,75,0,0,0.004321591462939978
83,97,75,0,1,0.00541969807818532
76,97,75,1,1,0.0005040430696681142
71,97,75,0,0,0.013890615664422512
70,97,75,0,1,0.008728289045393467
74,97,75,1,1,0.0008038612431846559
75,96,75,1,1,0.0008090256014838815
74,98,75,0,0,0.00303223030641675
89,99,75,0,1,0.007591031491756439
78,96,75,0,0,0.0007136754575185478
77,95,75,0,0,0.0004218784742988646
77,93,75,0,0,0.008042581379413605
89,98,75,1,0,0.0005869099404662848
77,97,75,0,0,0.005540505982935429
79,96,75,0,1,0.00733945332467556
70,96,75,0,1,0.002902511740103364
77,95,75,1,1,0.0007575106574222445
77,96,75,0,0,0.001336464541964233
88,98,75,0,0,0.0030545734334737062
77,97,75,0,0,0.0016447986708953977
72,98,75,0,1,0.007649904116988182
72,96,75,0,0,0.0013086508261039853
77,96,75,0,1,0.003421278903260827
75,96,75,0,0,0.0031110686250030994
79,95,75,0,0,0.0017359534977003932
72,95,75,0,0,0.00227559101767838
73,93,75,0,0,0.004960155114531517
75,96,75,0,0,0.0013982524396851659
71,94,75,0,0,0.00038809559191577137
75,95,75,0,0,0.003085085889324546
70,97,75,0,0,0.0065473830327391624
73,95,75,0,0,0.00048702486674301326
75,96,75,0,1,0.0029378540348261595
84,97,75,0,1,0.010534442029893398
73,98,75,0,0,0.005345397163182497
73,98,75,0,0,0.006086382083594799
75,97,75,0,1,0.0023933202028274536
72,96,75,0,0,0.0021835530642420053
72,97,75,0,0,0.0017537008970975876
83,96,75,0,0,0.0016878489404916763
80,96,75,0,1,0.008234000764787197
76,96,75,0,0,0.001200683880597353
72,99,75,0,0,0.004748082719743252
74,96,75,0,0,0.0027605595532804728
74,97,75,0,1,0.0037389849312603474
74,96,75,0,0,0.0013597406214103103
76,97,75,0,1,0.011490612290799618
72,96,75,0,0,0.0017648800276219845
89,100,75,0,0,0.0008192203822545707
88,98,75,0,1,0.01615641638636589
76,98,75,0,0,0.0006599422194994986
76,97,75,0,0,0.00033392111072316766
89,99,75,0,1,0.0033362810499966145
76,96,75,1,1,0.0007044950616545975
76,98,75,0,1,0.008797196671366692
77,94,75,0,0,0.003810473484918475
75,97,75,0,1,0.0012014620006084442
74,97,75,0,0,0.0005037649534642696
77,95,75,1,1,0.00035621682764030993
89,99,75,0,1,0.00768077839165926
80,97,75,0,0,0.007464044727385044
76,96,75,0,0,0.0034182057715952396
75,95,75,0,0,0.004278817214071751
75,97,75,0,0,0.003877440234646201
72,97,75,0,0,0.004126927349716425
76,97,75,0,0,0.00585799990221858
70,97,75,0,0,0.004204478580504656
73,96,75,0,0,0.0017494290368631482
73,98,75,0,0,0.009011680260300636
74,93,75,0,0,0.0055907126516103745
77,95,75,1,1,0.0012188269756734371
74,96,75,0,0,0.0017513164784759283
79,95,75,0,0,0.0010386583162471652
79,96,75,0,1,0.0008369579445570707
75,97,75,0,0,0.0020627190824598074
75,97,75,0,1,0.004971029702574015
71,97,75,0,0,0.006470235530287027
76,97,75,0,1,0.0036133318208158016
75,97,75,0,0,0.0009694226901046932
88,99,75,0,1,0.011914192698895931
71,98,75,0,0,0.002894428325816989
86,96,75,0,1,0.0006309913587756455
75,96,75,1,1,0.001136627746745944
84,97,75,0,0,0.0009238768252544105
73,96,75,0,0,0.002167007653042674
75,97,75,0,0,0.009567390196025372
76,96,75,0,0,0.005530259106308222
76,96,75,1,1,0.00044336277642287314
76,95,75,0,1,0.003073450643569231
70,98,75,0,0,0.00309373764321208
74,95,75,0,0,0.0008621257729828358
88,98,75,0,0,0.0006614793092012405
87,96,75,0,0,0.001627993886359036
79,95,75,0,1,0.002224651863798499
76,95,75,0,0,0.002055829158052802
74,98,75,0,1,0.007952979765832424
74,99,75,0,0,0.0035631603095680475
72,97,75,0,0,0.002130605513229966
78,95,75,1,1,0.0016706902533769608
76,96,75,0,1,0.00528765469789505
78,97,75,0,1,0.0075375353917479515
79,97,75,0,0,0.004265018738806248
72,98,75,0,0,0.004544989671558142
76,96,75,0,0,0.002104570157825947
76,97,75,0,1,0.0017230332596227527
74,96,75,0,0,0.0019747165497392416
77,95,75,0,1,0.003108531702309847
75,97,75,0,0,0.006459581200033426
86,96,75,1,0,0.0002805714902933687
76,96,75,0,0,0.0061416225507855415
92,101,75,0,0,0.0006702421815134585
73,98,75,0,0,0.009617317467927933
77,96,75,0,1,0.0033954496029764414
75,98,75,0,1,0.0005422933027148247
76,97,75,0,1,0.002034203615039587
75,98,75,0,0,0.0011956384405493736
74,94,75,1,1,0.0008940277039073408
72,97,75,0,0,0.006283721420913935
85,96,75,1,0,4.408950553624891e-05
76,97,75,0,0,0.011797653511166573
77,97,75,0,1,0.007304167374968529
75,95,75,0,0,0.0005105255986563861
74,98,75,0,0,0.006904769688844681
73,95,75,0,0,0.004798524547368288
79,95,75,0,0,0.0042487503960728645
77,97,75,0,0,0.0006591157289221883
77,96,75,0,0,0.00585952028632164
74,97,75,0,1,0.0016696270322427154
74,97,75,0,0,0.0029258292634040117
71,98,75,0,0,0.0015049641951918602
77,95,75,1,1,0.0013914044247940183
78,95,75,1,1,0.0005219979211688042
77,96,75,0,0,0.0006023767637088895
82,97,75,0,1,0.006169495172798634
71,98,75,0,0,0.00558745302259922
77,97,75,0,1,0.004273822996765375
77,95,75,1,1,0.0003786594024859369
75,98,75,0,0,0.0035104427952319384
73,96,75,0,1,0.0006145552615635097
78,96,75,0,1,0.001674746279604733
78,96,75,0,0,0.0010274419328197837
74,97,75,0,0,0.0008745957748033106
80,93,75,0,0,0.0006822402938269079
88,97,75,1,0,0.0006450329092331231
72,97,75,0,0,0.00486620981246233
80,95,75,1,1,0.0002783372765406966
75,96,75,0,1,0.003281180514022708
75,96,75,0,0,0.0035405124071985483
77,96,75,0,1,0.003108799224719405
73,97,75,0,0,0.000541471061296761
76,98,75,0,0,0.007145249284803867
75,97,75,0,1,0.01234348863363266
70,97,75,0,0,0.0010483686346560717
74,96,75,0,0,0.0008675007265992463
82,97,75,0,1,0.009841874241828918
85,96,75,0,0,0.01001065131276846
73,94,75,1,0,0.0002962593862321228
78,96,75,0,0,0.005345033016055822
78,97,75,0,0,0.008390627801418304
79,97,75,0,1,0.012263200245797634
71,96,75,0,0,0.001369262463413179
76,94,75,0,0,0.003679645247757435
70,97,75,0,0,0.00510568218305707
74,97,75,0,0,0.002660407219082117
70,87,75,1,1,0.0007990928133949637
71,97,75,0,0,0.002254607155919075
77,95,75,1,1,0.0012793982168659568
83,97,75,0,0,0.001259482465684414
70,98,75,0,1,0.0012793445494025946
76,93,75,0,0,0.0004415315925143659
78,97,75,0,1,0.005473782308399677
75,96,75,0,0,0.0027544868644326925
77,98,75,0,0,0.01970338076353073
77,97,75,0,0,0.00489218533039093
76,96,75,0,1,0.002106358064338565
72,95,75,0,0,0.00035155710065737367
74,96,75,1,1,0.00023254030384123325
78,95,75,1,1,0.0003273845068179071
72,97,75,0,1,0.012034177780151367
76,97,75,0,0,0.008278533816337585
72,97,75,0,0,0.006411478389054537
75,96,75,0,1,0.0018681783694773912
77,94,75,0,1,0.004456821363419294
72,94,75,0,0,0.0039797257632017136
74,97,75,0,0,0.0032689168583601713
76,93,75,1,1,0.0008519620751030743
72,96,75,0,1,0.002427235711365938
75,97,75,0,1,0.001941203372552991
75,97,75,0,0,0.00483103608712554
74,98,75,0,0,0.004504420328885317
74,96,75,0,1,0.0008642078610137105
75,98,75,0,0,0.008104412816464901
78,96,75,0,0,0.008902261964976788
75,96,75,0,1,0.0066145253367722034
76,96,75,0,0,0.002478168811649084
73,99,75,0,0,0.0028617011848837137
73,97,75,0,0,0.005860240198671818
74,97,75,0,0,0.01331262569874525
79,96,75,0,0,0.000822858011815697
72,97,75,0,0,0.004179161973297596
74,97,75,0,1,0.011246532201766968
68,87,75,0,0,0.0019376097479835153
70,96,75,0,0,0.001221420243382454
